Zeit,Kanal A,Kanal B
(ms),(V),(V)

-8.69096568,0.01403851,0.00000000
-8.68840568,0.01403851,0.00000000
-8.68584568,0.01403851,0.00000000
-8.68328568,0.01648000,0.00000000
-8.68072568,0.01403851,0.00000000
-8.67816568,0.01403851,0.00000000
-8.67560568,0.01403851,0.00000000
-8.67304568,0.01403851,0.00000000
-8.67048568,0.01648000,0.00000000
-8.66792568,0.01648000,0.00000000
-8.66536568,0.01648000,0.00000000
-8.66280568,0.01648000,0.00000000
-8.66024568,0.01648000,0.00000000
-8.65768568,0.01648000,0.00000000
-8.65512568,0.01648000,0.00000000
-8.65256568,0.01648000,0.00000000
-8.65000568,0.01403851,0.00000000
-8.64744568,0.01403851,0.00000000
-8.64488568,0.01098666,0.00000000
-8.64232568,0.01098666,0.00000000
-8.63976568,0.01098666,0.00000000
-8.63720568,0.01098666,0.00000000
-8.63464568,0.00854518,0.00000000
-8.63208568,0.00854518,0.00000000
-8.62952568,0.00549333,0.00000000
-8.62696568,0.00854518,0.00000000
-8.62440568,0.00854518,0.00000000
-8.62184568,0.01098666,0.00000000
-8.61928568,0.01098666,0.00000000
-8.61672568,0.01098666,0.00000000
-8.61416568,0.01403851,0.00000000
-8.61160568,0.01098666,0.00000000
-8.60904568,0.01098666,0.00000000
-8.60648568,0.01098666,0.00000000
-8.60392568,0.01098666,0.00000000
-8.60136568,0.01098666,0.00000000
-8.59880568,0.01098666,0.00000000
-8.59624568,0.01098666,0.00000000
-8.59368568,0.01098666,0.00000000
-8.59112568,0.01098666,0.00000000
-8.58856568,0.00854518,0.00000000
-8.58600568,0.00549333,0.00000000
-8.58344568,0.00854518,0.00000000
-8.58088568,0.00854518,0.00000000
-8.57832568,0.01098666,0.00000000
-8.57576568,0.01098666,0.00000000
-8.57320568,0.01098666,0.00000000
-8.57064568,0.01098666,0.00000000
-8.56808568,0.00854518,0.00000000
-8.56552568,0.00854518,0.00000000
-8.56296568,0.00854518,0.00000000
-8.56040568,0.01098666,0.00000000
-8.55784568,0.01098666,0.00000000
-8.55528568,0.01098666,0.00000000
-8.55272568,0.00854518,0.00000000
-8.55016568,0.00854518,0.00000000
-8.54760568,0.00854518,0.00000000
-8.54504568,0.00854518,0.00000000
-8.54248568,0.00854518,0.00000000
-8.53992568,0.01098666,0.00000000
-8.53736569,0.01098666,0.00061037
-8.53480569,0.01098666,0.00061037
-8.53224569,0.01098666,0.00061037
-8.52968569,0.01098666,0.00061037
-8.52712569,0.01403851,0.00061037
-8.52456569,0.01403851,0.00061037
-8.52200569,0.01403851,0.00061037
-8.51944569,0.01098666,0.00061037
-8.51688569,0.01098666,0.00061037
-8.51432569,0.01098666,0.00061037
-8.51176569,0.01403851,0.00061037
-8.50920569,0.01403851,0.00061037
-8.50664569,0.01098666,0.00061037
-8.50408569,0.01098666,0.00061037
-8.50152569,0.01403851,0.00061037
-8.49896569,0.01403851,0.00061037
-8.49640569,0.01403851,0.00061037
-8.49384569,0.01403851,0.00061037
-8.49128569,0.01403851,0.00061037
-8.48872569,0.01403851,0.00061037
-8.48616569,0.01403851,0.00061037
-8.48360569,0.01403851,0.00061037
-8.48104569,0.01403851,0.00061037
-8.47848569,0.01098666,0.00061037
-8.47592569,0.01098666,0.00061037
-8.47336569,0.01098666,0.00061037
-8.47080569,0.01098666,0.00061037
-8.46824569,0.01098666,0.00061037
-8.46568569,0.01098666,0.00061037
-8.46312569,0.00854518,0.00061037
-8.46056569,0.00854518,0.00061037
-8.45800569,0.00549333,0.00061037
-8.45544569,0.00549333,0.00061037
-8.45288569,0.00549333,0.00061037
-8.45032569,0.00244148,0.00061037
-8.44776569,0.00244148,0.00061037
-8.44520569,0.00244148,0.00061037
-8.44264569,0.00244148,0.00061037
-8.44008569,0.00000000,0.00061037
-8.43752569,0.00000000,0.00061037
-8.43496569,0.00000000,0.00061037
-8.43240569,0.00000000,0.00061037
-8.42984569,0.00244148,0.00061037
-8.42728569,0.00549333,0.00061037
-8.42472569,0.00549333,0.00061037
-8.42216569,0.00854518,0.00061037
-8.41960569,0.00549333,0.00061037
-8.41704569,0.00549333,0.00061037
-8.41448569,0.00244148,0.00061037
-8.41192569,0.00244148,0.00061037
-8.40936569,0.00244148,0.00061037
-8.40680569,0.00549333,0.00061037
-8.40424569,0.00549333,0.00061037
-8.40168569,0.00854518,0.00061037
-8.39912569,0.00854518,0.00061037
-8.39656569,0.00549333,0.00061037
-8.39400569,0.00549333,0.00061037
-8.39144569,0.00549333,0.00061037
-8.38888569,0.00854518,0.00061037
-8.38632569,0.00854518,0.00061037
-8.38376569,0.00854518,0.00061037
-8.38120569,0.00854518,0.00061037
-8.37864569,0.01098666,0.00061037
-8.37608569,0.00854518,0.00061037
-8.37352569,0.00854518,0.00000000
-8.37096569,0.00854518,0.00000000
-8.36840569,0.00854518,0.00000000
-8.36584569,0.00854518,0.00000000
-8.36328569,0.00549333,0.00000000
-8.36072569,0.00549333,0.00000000
-8.35816569,0.00549333,0.00000000
-8.35560569,0.00854518,0.00000000
-8.35304569,0.00854518,0.00000000
-8.35048569,0.01098666,0.00000000
-8.34792569,0.00854518,0.00000000
-8.34536569,0.00854518,0.00000000
-8.34280569,0.00854518,0.00000000
-8.34024569,0.00854518,0.00000000
-8.33768569,0.00549333,0.00000000
-8.33512569,0.00549333,0.00000000
-8.33256569,0.00549333,0.00000000
-8.33000569,0.00854518,0.00000000
-8.32744569,0.00854518,0.00000000
-8.32488569,0.00854518,0.00000000
-8.32232569,0.00854518,0.00000000
-8.31976569,0.00854518,0.00000000
-8.31720569,0.01098666,0.00000000
-8.31464569,0.01098666,0.00000000
-8.31208569,0.01098666,0.00000000
-8.30952569,0.01098666,0.00000000
-8.30696569,0.01403851,0.00000000
-8.30440569,0.01403851,0.00000000
-8.30184569,0.01648000,0.00000000
-8.29928569,0.01648000,0.00000000
-8.29672569,0.01953185,0.00000000
-8.29416569,0.02258370,0.00000000
-8.29160569,0.02258370,0.00000000
-8.28904569,0.02502518,0.00000000
-8.28648569,0.02502518,0.00000000
-8.28392569,0.02807703,0.00000000
-8.28136569,0.02807703,0.00000000
-8.27880569,0.02807703,0.00000000
-8.27624569,0.02807703,0.00000000
-8.27368569,0.02807703,0.00000000
-8.27112569,0.02807703,0.00000000
-8.26856569,0.02807703,0.00000000
-8.26600569,0.02502518,0.00000000
-8.26344569,0.02258370,0.00000000
-8.26088569,0.02258370,0.00000000
-8.25832569,0.01953185,0.00000000
-8.25576569,0.01953185,0.00000000
-8.25320569,0.02258370,0.00000000
-8.25064569,0.02258370,0.00000000
-8.24808569,0.02258370,0.00000000
-8.24552569,0.02258370,0.00000000
-8.24296569,0.01953185,0.00000000
-8.24040569,0.01953185,0.00000000
-8.23784569,0.01953185,0.00000000
-8.23528569,0.01953185,0.00000000
-8.23272569,0.01953185,0.00000000
-8.23016569,0.01953185,0.00000000
-8.22760569,0.01953185,0.00000000
-8.22504569,0.01648000,0.00000000
-8.22248569,0.01648000,0.00000000
-8.21992569,0.01648000,0.00000000
-8.21736569,0.01648000,0.00000000
-8.21480569,0.01403851,0.00000000
